"id_curso","nome_curso","eixos_tematicos","competencias","certificador","conteudista","carga_horaria","disponibilidade_dias","tipo_oferta","apresentacao","publico_alvo","conteudo_programatico","data_lancamento"
"1277","Trilho 1 - Gerindo riscos Trilha - Gestão de Crises","Liderança",NULL,"Enap - Escola Nacional de Administração Pública","Enap - Escola Nacional de Administração Pública","85","365","Curso Aberto","O trilho 1 analisa o contexto da organização para realizar o diagnóstico das crises, identificando os riscos e as estratégias para mitigação ou redução dos riscos mapeados.","Lideranças públicas atuais e potenciais","Gerindo riscos","07/11/24"
"1211","Introdução à Ciência de Dados - Estatística Essencial","Análise e Ciência de Dados",NULL,"Enap - Escola Nacional de Administração Pública","Serviço Federal de Processamento de Dados","6","10","Curso Aberto","Este curso ensina conceitos essenciais de estatística aplicados à Ciência de Dados, combinando teoria e prática. Ele visa capacitar os participantes para atender demandas imediatas, focando na construção de modelos para tomada de decisões. Quer saber mais? Inscreva-se","Servidores públicos e todo cidadão interessado na temática. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever."," Estatística Descritiva Testes de Hipótese","06/08/24"
"1068","Prevenção e Detecção de Cartéis em Licitações","Transparência, Controle e Participação / Logística e Compras Públicas / Orçamento e Finanças",NULL,"Enap - Escola Nacional de Administração Pública","Conselho Administrativo de Defesa Econômica","20","30","Curso Aberto","Neste curso, você irá aprender a apoiar estruturas de compras de todos os órgãos públicos para prevenção, identificação e reação diante de indícios de cartéis em licitações. Não perca este curso, inscreva-se!","Curso aberto, gratuito e com certificado; qualquer pessoa pode se inscrever."," Concorrência e Cartéis em Licitações Identificação e Denúncia de Cartéis em Licitações Prevenção a Cartéis em Licitações","29/12/23"
"1298","Trilho 2 - Traçando diretrizes estratégicas Trilha - Visão de futuro","Gestão Pública / Liderança",NULL,"Enap - Escola Nacional de Administração Pública","Enap - Escola Nacional de Administração Pública","140","365","Curso Aberto","As lideranças devem promover a elaboração de diretrizes estratégicas claras, com objetivos, indicadores e metas bem definidas, passa pela realização, de forma participativa de diagnóstico estratégico, envolvendo atores-chave e utilizando dados concretos para fundamentar decisões.","Desenvolvida com foco em lideranças públicas atuais e potenciais. Trilha de aprendizagem aberta, gratuita e com certificado. Qualquer pessoa pode se inscrever.","Traçando diretrizes estratégicas","17/12/24"
"1278","Trilho 2 - Construindo soluções e negociações Trilha - Gestão de Crises","Liderança",NULL,"Enap - Escola Nacional de Administração Pública","Enap - Escola Nacional de Administração Pública","27","365","Curso Aberto","O trilho 2 aborda a construção de soluções para as crises por meio de estabelecimento de canais de comunicação e de escuta aos atores relevantes (internos e externos à organização).","Lideranças públicas atuais e potenciais","Construindo soluções e negociações","07/11/24"
"390","Etapas e Procedimentos do PNLD","Educação e Docência",NULL,"Enap - Escola Nacional de Administração Pública","Ministério da Educação","30","30","Curso Aberto","O curso compõe a Trilha de Aprendizagem sobre o PNLD, possibilitando um acompanhamento mais efetivo das escolas e dos profissionais que atuam na Educação Básica. Promove a elaboração dos planos pedagógicos, a escolha dos livros e as etapas de remanejamento, dentre outras práticas executadas na escola.","Todos os atores envolvidos nos processos de elaboração e execução do PNLD; Órgãos de Controle; Sociedade; Professores e Alunos. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever."," O livro como indutor da melhoria da qualidade da Educação Básica Etapas, Procedimentos e Funcionamento do PNLD PNLD na prática Recursos disponíveis de suporte ao PNLD Sistemas informatizados de apoio ao PNLD.","18/03/21"
"499","CAIXA: Banco Público Atuando para o Desenvolvimento do Município","Políticas Públicas",NULL,"Enap - Escola Nacional de Administração Pública","Secretaria Especial de Assuntos Federativos","10","30","Curso Aberto","Você conhece o papel fundamental da CAIXA para o desenvolvimento urbano? Este curso busca identificar as possibilidades de atendimento junto à CAIXA para suporte à viabilização das políticas públicas, com os elementos conceituais e práticos para o apoio à gestão municipal. Se inscreva e venha conhecer detalhes dos principais programas relacionados aos contratos de repasse de recursos da União.","Agentes públicos, especialmente, aos que iniciam sua trajetória na gestão municipal. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever."," A parceria CAIXA E municípios – Você conhece essa história? CAIXA representante da União - Como a CAIXA atua nos contratos de repasse para execução de obras? Programas e linhas de crédito CAIXA para os municípios. Como atuar para retomada de obras paralisadas. Contratos.","21/12/21"
"1293","Trilho 2 - Comprometendo-se com o desenvolvimento pessoa Trilha - Autoconhecimento e desenvolvimento pessoal","Desenvolvimento Pessoal / Liderança",NULL,"Enap - Escola Nacional de Administração Pública","Enap - Escola Nacional de Administração Pública","15","365","Curso Aberto","O trilho aborda a trajetória e o compromisso da liderança com seu autodesenvolvimento. Neste contexto, são tratadas as habilidades de construir e aplicar o conhecimento de modo autônomo, contínuo e sistemático; e de buscar o aprendizado e desenvolvimento de forma permanente.","Desenvolvida com foco em lideranças públicas atuais e potenciais. Trilha de aprendizagem aberta, gratuita e com certificado. Qualquer pessoa pode se inscrever","Comprometendo-se com o desenvolvimento pessoa","17/12/24"
"926","Contratações Diretas na Nova Lei de Licitações","Transparência, Controle e Participação / Gestão Pública / Logística e Compras Públicas","Foco nos resultados para os cidadãos / Geração de valor para os usuários","Enap - Escola Nacional de Administração Pública","Enap - Escola Nacional de Administração Pública","30","30","Curso Aberto","Neste curso, você conhecerá um recorte da Nova Lei de Licitações (NLLC) que apresenta o conteúdo das contratações diretas com destaque para as mudanças ocorridas em relação à Lei nº 8.666/1993. Além disso, você conhecerá também os tipos de contrações diretas, como a inexigibilidade e a dispensa de licitação, de que maneira ocorre o seu planejamento e as principais providências para sua instrução processual. Inscreva-se para saber mais!","Servidores públicos estaduais e municipais, além de profissionais e demais interessados na área."," Contratação direta – Introdução. Inexigibilidade de licitação. Dispensa de licitação. Licitação dispensada.","20/04/23"
"1258","Introdução à Ciência de Dados - Redes Complexas","Análise e Ciência de Dados",NULL,"Enap - Escola Nacional de Administração Pública","Serviço Federal de Processamento de Dados","4","10","Curso Aberto","O curso oferece uma introdução à análise de redes complexas, abordando sistemas e conceitos-chave, conectando teoria e prática. Com foco em formar profissionais capacitados para atender demandas imediatas, ele prepara o aluno para criar modelos voltados à tomada de decisão, oferecendo uma base essencial para quem deseja atuar como cientista de dados.","Servidores públicos e todo cidadão interessado na temática. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever."," Análise de redes complexas Laços fortes e fracos Homofilia e afiliação Relacionamentos positivos e negativos Análise de links Tipos de redes complexas","24/10/24"
"1074","Higiene Ocupacional","Políticas Públicas","Foco nos resultados para os cidadãos / Geração de valor para os usuários","Enap - Escola Nacional de Administração Pública","FUNDACENTRO - Fundação Jorge Duprat Figueiredo de Segurança e Medicina do Trabalho","30","30","Curso Aberto","Neste curso, você conhecerá normas, estratégias e orientações para reconhecer, avaliar e controlar os riscos ocupacionais nos ambientes de trabalho. Ações de higiene ocupacional tem como foco a redução dos riscos e prevenção de doenças ocupacionais causadas por agentes ambientais. Quer saber mais? Inscreva-se!","Profissionais que atuam na área de segurança e saúde no trabalho, tais como especialistas em higiene ocupacional, técnicos, engenheiros e médicos da saúde ocupacional."," Higiene Ocupacional e Legislação Agentes Químicos Agente Físicos: Ruído e Vibração","15/04/24"
"397","Direito à Identidade, Cidadania e Documentação","Direitos Humanos e Cidadania / Direito e Legislação / Políticas Sociais",NULL,"Enap - Escola Nacional de Administração Pública","Ministério dos Direitos Humanos e Cidadania","30","30","Curso Aberto","O curso visa estimular a compreensão do registro civil de nascimento (RCN) e da documentação básica (DB) sob a perspectiva dos direitos humanos e, sua relação com a construção da cidadania e da democracia, apresentando os principais desafios à universalização do RCN e da DB e as estratégias em curso para o enfrentamento ao sub-registro, com destaque para a questão da paternidade e do registro tardio, bem como as especificidades, desafios e estratégias na garantia do direito ao registro civil junto a algumas populações vulnerabilizadas.","Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever."," Registro Civil e Documentação Básica no Brasil Políticas públicas de enfrentamento ao sub-registro Populações vulnerabilizadas","17/04/21"
"429","Contabilidade com Foco na Gestão do Orçamento Público","Água e Saneamento / Orçamento e Finanças",NULL,"Enap - Escola Nacional de Administração Pública","Enap - Escola Nacional de Administração Pública","20","30","Curso Aberto","O curso apresenta procedimentos e ferramentas básicas de controle das informações contábeis. Nesse contexto, serão abordados conceitos básicos de Contabilidade Aplicada ao Setor Público. Também serão tratados no curso procedimentos contábeis da receita e da despesa.","Servidores públicos que atuam com contabilidade e gestão orçamentária e, também, a todos que se interessarem pelo assunto. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever."," Conceitos básicos de Contabilidade Aplicada ao Setor Público; Procedimentos contábeis orçamentários (PCO) da receita; Procedimentos contábeis orçamentários (PCO) da despesa.","15/10/21"
"396","PNLD – Programa Nacional do Livro e do Material Didático","Educação e Docência / Políticas Públicas / Políticas Sociais",NULL,"Enap - Escola Nacional de Administração Pública","Ministério da Educação","30","30","Curso Aberto","Este curso compõe a Trilha de Aprendizagem sobre o Programa Nacional do Livro e Material Didático (PNLD) e apresenta informações importantes sobre esse programa, como o histórico, a legislação que aborda o assunto, os atores envolvidos e como ocorre o processo de escolha das obras didáticas. Quer saber mais sobre o PNLD? Faça sua inscrição.","Atores envolvidos nos processos de elaboração e execução do PNLD. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever."," Conheça o PNLD Regulamentações e Normas do PNLD O processo de escolha das Obras Didáticas Guia Digital do PNLD","20/03/21"
"339","Introdução ao Federalismo Fiscal no Brasil","Gestão Pública / Orçamento e Finanças",NULL,"Enap - Escola Nacional de Administração Pública","Secretaria de Orçamento Federal","30","30","Curso Aberto","Desenvolvido pela Secretaria de Orçamento Federal (SOF) em 2016 e, posteriormente, cedido para oferta pela Enap. Revisado em 2020, este curso apresenta as principais características do federalismo em âmbito geral, com foco no federalismo fiscal Brasileiro.","Agentes públicos, estudantes e demais pessoas que tenham interesse no tema. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever."," Federalismo: Conceitos e Origem Federalismo: Características e Classificações O Federalismo Brasileiro Federalismo Fiscal Brasileiro O Federalismo e as Transferências Intergovernamentais","25/09/20"
"1160","Gerenciar Dados com o Microsoft 365","Governo e Transformação Digital","Foco nos resultados para os cidadãos / Geração de valor para os usuários","Enap - Escola Nacional de Administração Pública","Microsoft","4","30","Curso Aberto","Aprender a gerenciar dados usando o Microsoft 365 é uma habilidade essencial que permitirá que os alunos assumam qualquer projeto com confiança. Este curso mostrará aos alunos como coletar, organizar e distribuir dados usando ferramentas de dados, incluindo Forms, Power Automate, Excel e Power BI. Ficou interessado? Inscreva-se!","Servidores públicos e todo cidadão interessado na temática. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.","Introdução ao FormsComo desenvolver processos com o Power AutomateComo analisar dados no ExcelComo utilizar o Power BI Desktop","03/06/24"
"529","Como implementar a LGPD: bases, mecanismos e processos","Governo e Transformação Digital / Direito e Legislação / Gestão da Informação e do Conhecimento","Visão sistêmica / Comunicação estratégica / Ética e Integridade pública","Enap - Escola Nacional de Administração Pública","Secretaria de Governo Digital","25","30","Curso Aberto","Seja para implementar um serviço simples ao cidadão ou um que utiliza dados mais sensíveis, é essencial ter em mente a necessidade de criar uma política de segurança e toda a estrutura que acompanha esse processo, para que o passo lógico seja apenas ajustá-lo à LGPD. Para aprender as bases, mecanismos e outros processos relacionados à lei, faça já sua inscrição neste curso e venha ser EV.G!","Servidores públicos que atuam nos órgãos e entidades do Sistema de Administração dos Recursos de Tecnologia da Informação (SISP). Curso aberto, qualquer pessoa pode se inscrever."," Bases para Aplicação da LGPD Mecanismos para Implementação da LGPD Implementando a LGPD Infrações e Penalidades.","19/12/22"
"1241","Trilho 1 - Expressando ideias e conceitos Trilha - Comunicação","Comunicação",NULL,"Enap - Escola Nacional de Administração Pública","Enap - Escola Nacional de Administração Pública","105","365","Curso Aberto","Para desenvolver a competência de comunicação entre servidores públicos, é essencial identificar o contexto da comunicação, compreendendo o ambiente organizacional e o papel que o servidor desempenha, assim como as particularidades do interlocutor.","Desenvolvida com foco em servidoras e servidores públicos em geral. Trilha de aprendizagem aberta, gratuita e com certificado. Qualquer pessoa pode se inscrever.","Expressando ideias e conceitos","23/10/24"
"1086","Trilho 1 - Questionando o convencional - Trilha - Inovação e Mudança","Inovação / Liderança",NULL,"Enap - Escola Nacional de Administração Pública","Enap - Escola Nacional de Administração Pública","20","365","Curso Aberto","A competência de Inovação e Mudança demanda a curiosidade na busca de experimentação de novas ideias e serviços, questionando-se abordagens convencionais de como trabalhar e conduzir suas ações. Para isso, o trilho aborda a necessidade de identificar as situações que demandam soluções inovadoras.","Desenvolvida com foco em servidoras e servidores públicos que exercem ou desejam exercer funções de liderança na administração pública. Trilha de aprendizagem aberta, gratuita e com certificado. Qualquer pessoa pode se inscrever."," Questionando o convencional ","29/08/24"
"1162","Gerenciar Projetos com o Microsoft 365","Governo e Transformação Digital","Foco nos resultados para os cidadãos / Geração de valor para os usuários","Enap - Escola Nacional de Administração Pública","Microsoft","4","30","Curso Aberto","O gerenciamento de projetos pode ser complicado, mas há diversas ferramentas disponíveis no Microsoft 365 que podem auxiliar na melhoria de eficiência e no gerenciamento de parcerias com as partes interessadas. Após este curso, os alunos terão condições de gerenciar seus projetos usando as ferramentas de forma mais eficaz.","Servidores públicos e todo cidadão interessado na temática. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.","Módulo único - Gerenciar Projetos com o Microsoft 365Introdução ao ListsComo usar o Microsoft PlannerComo se manter organizado com o Microsoft Project","10/06/24"
"1276","Armamento Institucional","Direito e Legislação",NULL,"Enap - Escola Nacional de Administração Pública","Secretaria Especial da Receita Federal do Brasil","60","60","Curso Exclusivo","Nesse curso você conhecerá conceitos teóricos e aspectos técnicos relativos ao armamento institucional e ao uso dos demais equipamentos utilizados na Receita Federal. Você aprenderá sobre os princípios doutrinários, os fundamentos de tiro, as regras de segurança, o uso legal e seletivo da força e responsabilidades decorrentes do seu uso, além de encontrar reunida a legislação que trata do tema.","Este curso é exclusivo para agentes públicos da Secretaria Especial da Receita Federal do Brasil."," Normas Gerais De Segurança E Conduta No Estande Tiro Aspectos Técnicos Das Armas De Fogo Munição E Balística Armas Menos Letais. Fundamentos De Tiro Técnicas De Tiro e Solução De Pane. Aspectos Jurídicos do Uso e Emprego de Arma de Fogo e Doutrina da RFB","19/12/24"
"460","O arrolamento de bens para a proteção do crédito tributário no âmbito da Receita Federal","Regulação / Direito e Legislação / Orçamento e Finanças","Foco nos resultados para os cidadãos / Gestão para resultados","Enap - Escola Nacional de Administração Pública","Secretaria Especial da Receita Federal do Brasil","25","30","Curso Exclusivo","Neste curso você conhecerá os procedimentos administrativos de arrolamento de bens, a partir do estudo sobre a sua origem e evolução como instrumento acautelatório até a análise de casos concretos e da sua interpretação nos tribunais, o que lhe trará maior segurança na identificação e aplicabilidade dos procedimentos na sua rotina de trabalho, no âmbito tributário.","Curso exclusivo para servidores que atuam no âmbito tributário da Receita Federal. Para o usuário ter acesso ao curso é necessário que tenha o cadastro na EV.G com seu e-mail institucional (@rfb.gov.br ou @receita.fazenda.gov.br ou @receita.economia.gov.br)."," Noções introdutórias. Análise regulatória – lei nº 9.532/1997 e IN RFB nº 1565/2015. Estudos de caso.","02/09/22"
"249","Me Poupe! Invista com Nathalia Arcuri","Direitos Humanos e Cidadania / Orçamento e Finanças",NULL,"Enap - Escola Nacional de Administração Pública","Enap - Escola Nacional de Administração Pública","20","30","Curso Aberto","Ainda não sabe onde investir seu dinheiro ou está endividado? Me poupe! Faça a sua inscrição e aprenda a economizar e a investir o seu dinheiro com Nathalia Arcuri, fundadora da primeira plataforma de entretenimento financeiro do Brasil. Ela vai oferecer várias dicas sobre educação financeira de um jeito simples, com vídeos divertidos e dinâmicos.","Servidores públicos e a todos que tenham interesse em dicas sobre educação financeira. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever."," Motivação para poupar dinheiro Organização financeira Casa própria: mitos, verdades e investimentos Conhecendo investimentos eficazes ","31/10/19"
"356","Desenvolvendo Times de Alta Performance","Gestão de Pessoas / Liderança","Engajamento de pessoas e equipes","Enap - Escola Nacional de Administração Pública","Secretaria Especial da Receita Federal do Brasil","30","30","Curso Aberto","Parceria da RFB com a Enap, este curso aborda o conhecimento e o desenvolvimento de competências gerenciais, além da vivência do exercício da liderança, fundamentais no ambiente de trabalho contemporâneo. O objetivo da parceria é trazer conteúdo para possibilitar aos gestores o aprendizado de técnicas que promovem a alta performance de equipes para o alcance dos objetivos estratégicos da instituição. Se interessou? Não perca a oportunidade, se inscreva!","Agentes que exercem ou pretendem realizar a função de liderança no contexto do serviço público. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever."," Competências gerenciais Técnicas de coaching Ferramentas de um time de alta performance","02/12/20"
"438","Gestão de Convênios para Concedentes","Orçamento e Finanças",NULL,"Enap - Escola Nacional de Administração Pública","Enap - Escola Nacional de Administração Pública","25","30","Curso Aberto","O curso foi desenvolvido em 2021 pela Enap com o objetivo de capacitar servidores públicos que atuam em alguma das etapas de convênios ou similares.","Servidores públicos que atuam em alguma das etapas de convênios ou similares. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever."," Importância e fundamentos de parcerias intergovernamentais Preparação da parceria intergovernamental Planejamento e formalização do convênio ou termo de compromisso Execução do objeto Prestação de contas","08/10/21"
"713","2030 Agenda for Sustainable Development and e-Learning Design Basics","Educação e Docência",NULL,"Enap - Escola Nacional de Administração Pública","United Nations System Staff College","10","30","Curso Aberto","This UNSSC course will provide you with an introduction to the main concepts of the 2030 Agenda and sustainable development, as well as guide and inspire you on how to multiply this knowledge through e-learning methods. By the end of the course, you will be able to understand the main concepts of the 2030 Agenda and be aware of the main aspects of instructional design and online facilitation.","The course is open. Anyone interested in the subject can enroll.","Content material on the 2030 Agenda for Sustainable DevelopmentInstructional material for e-learning design","01/11/21"
"840","Aplicação do Power BI para Aprimoramento da Gestão","Análise e Ciência de Dados / Governo e Transformação Digital","Mentalidade digital / Inovação e mudança","Enap - Escola Nacional de Administração Pública","Enap - Escola Nacional de Administração Pública","25","30","Curso Aberto","Neste curso, você irá conhecer a metodologia Business Intelligence por meio da ferramenta Power BI, que trabalha com acesso interativo aos dados e permite realizar análises apropriadas. É importante que a ferramenta esteja disponível em seu computador para que você tenha maior aproveitamento durante seus estudos e possa praticar as ações demonstradas. Acesse o curso e saiba mais!","Agentes do setor de administração pública federal. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever."," Introdução ao Power BI Obtenção e Transformação dos Dados Modelagem dos Dados Cálculos no Power BI Visualização no Power BI Publicação no Power BI Online Automatização no Power BI Online.","14/12/22"
"774","Inovação em Compras Governamentais para a Segurança Pública","Logística e Compras Públicas","Foco nos resultados para os cidadãos / Gestão para resultados","Enap - Escola Nacional de Administração Pública","Enap - Escola Nacional de Administração Pública","20","30","Curso Aberto","Novas ferramentas de inovação aplicáveis aos processos de compras na segurança pública já são utilizadas em diferentes instituições. Você já conhece as ferramentas e os novos procedimentos? Que tal realizar o curso e atualizar seus conhecimentos quanto às novas práticas de inovação em compras? Público-alvo: Servidores que atuam na segurança pública. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.","Servidores que atuam na segurança pública. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever."," Inovação e Setor Público: uma realidade possível e necessária; Inovação e Segurança Pública; Inovação e Compras Governamentais para a Segurança Pública.","22/03/23"
"896","Cobrança pela Prestação do Serviço Público de manejo de RSU","Regulação / Água e Saneamento / Infraestrutura",NULL,"Enap - Escola Nacional de Administração Pública","Agência Nacional de Águas e Saneamento Básico","30","30","Curso Aberto","Este curso aborda o conteúdo do Manual Orientativo Sobre a Norma de Referência Nº 1/ANA/2021, que dispõe sobre as regras de cobrança pela prestação do serviço público de manejo de resíduos sólidos urbanos.","Entidades reguladoras do serviço e órgãos de controle, representantes em instância colegiada: comitês de bacias, conselhos etc. Servidores/funcionários de órgão executivo: nacional, estadual, municipal, entidade delegatária/agência de bacia. Sociedade em geral. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever."," O SMRSU, a Regulação e a Política de Cobrança. Aspectos Institucionais da Gestão do SMRSU. Atividades Para Implementação ou Adequação da Política de Cobrança pelo SMRSU. Condições e Elementos Específicos da Regulação do Regime Tarifário.","30/12/22"
"498","Gestão de políticas públicas no âmbito local: saúde e assistência social","Políticas Públicas / Saúde / Gestão Pública / Orçamento e Finanças / Políticas Sociais","Foco nos resultados para os cidadãos / Visão sistêmica / Geração de valor para os usuários / Gestão para resultados","Enap - Escola Nacional de Administração Pública","Secretaria Especial de Assuntos Federativos","10","30","Curso Aberto","Neste curso, você compreenderá como captar recursos federais para a gestão das políticas públicas de saúde e assistência social em âmbito local. Além disso, também entenderá como ocorre a execução e prestação de contas desses recursos e como as ações de assistência social podem ser inseridas no orçamento público municipal. Quer saber mais? Inscreva-se.","Agentes públicos municipais e demais pessoas interessadas. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever."," Potencializando o seu Município para captar recursos financeiros federais Execução dos recursos financeiros federais com segurança técnico jurídica Prestação de contas dos recursos federais da saúde A Inserção das Ações de Assistência Social no Orçamento Público Captação de Recursos e Transferências Voluntárias Captação de Recursos e as Entidades Privadas","29/11/22"
