"id_curso","nome_curso","eixos_tematicos","competencias","certificador","conteudista","carga_horaria","disponibilidade_dias","tipo_oferta","apresentacao","publico_alvo","conteudo_programatico"
"314","Elaboração de Relatórios de Auditoria","Transparência, Controle e Participação",NULL,"Enap - Escola Nacional de Administração Pública","Controladoria-Geral da União","24","30","Curso Aberto","Conheça um novo modelo de relatório para as atividades de auditoria da CGU e de instrumentos auxiliares de planejamento, possibilitando a sua proficiência nesses temas e, consequentemente, a melhoria da qualidade dos relatórios resultantes das atividades de auditoria.","Auditores da Controladoria-Geral da União (lotados no Órgão Central, em Brasília e nos estados). Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.","Módulo 1 - O relatório de auditoriaMódulo 2 - O planejamento do relatórioMódulo 3 - O desenvolvimento do relatórioMódulo 4 - Recomendações e planos de açãoMódulo 5 - A finalização dos relatórios de auditoria e os processos de garantia da qualidade"
"183","Noções Básicas em Previdência Complementar","Aposentadoria e Previdência / Gestão de Pessoas",NULL,"Enap - Escola Nacional de Administração Pública","Enap - Escola Nacional de Administração Pública","25","30","Curso Aberto","A Subsecretaria do Regime de Previdência Complementar – SURPC, órgão do Ministério da Fazenda – MF, é a responsável por promover políticas públicas com vistas ao desenvolvimento, ao fomento e a evolução técnica do Regime de Previdência Complementar – RPC, no âmbito das Entidades Fechadas de Previdência Complementar – EFPC. Como uma das formas de divulgar, informar, orientar e esclarecer o público em geral sobre o Regime, foi elaborado Curso de Noções Básicas em Previdência Complementar, com o intuito de prestar informações, instruções e orientações acerca da Previdência Complementar.","Servidores públicos, associados de sindicatos e entidades de classe e setoriais, empregados de Empresas e qualquer pessoa que tenha interesse em conhecer o tema.","Unidade 1 Aula 01 - Evolução da Seguridade Social e da Previdência Social no Brasil Aula 02 - Segmentos da Previdência Social no Brasil A história ilustrada da Previdência Unidade 2 Aula 01 - Evolução e Características do Regime de Previdência Complementar Aula 02 - Como o Regime de Previdência Complementar está organizado Unidade 3 Aula 01 - Como as EFPC estão organizadas Aula 02 - Conhecendo as EFPC e as Modalidades de Planos de Benefícios Unidade 4 Aula 01 - A Política de Investimento e a Aplicação dos Recursos Unidade 5 Aula 01 - Vantagens para os Participantes das EFPC Aula 02 - Vantagens para o Patrocinador, Instituidor e a Sociedade"
"1025","Educação Patrimonial e Arte","Educação e Docência / Políticas Públicas","Foco nos resultados para os cidadãos / Geração de valor para os usuários","Enap - Escola Nacional de Administração Pública","IPHAN","10","10","Curso Aberto","Neste curso, você conhecerá algumas intersecções entre os campos de educação patrimonial e arte, compreendendo os processos de criação, de elaboração estética e de constituição de cidadania dos estudantes durante o percurso na educação básica. Achou interessante? Inscreva-se!","Profissionais e estudantes interessados no tema do patrimônio cultural e, em particular, em questões ligadas à educação patrimonial. Servidores públicos de qualquer esfera e Poder, bem como cidadãos em geral, estão autorizados a realizar o curso.","Módulo 1 - Educação Patrimonial e Arte"
"889","Conceitos essenciais sobre Patologias em Estruturas de Concreto","Infraestrutura","Foco nos resultados para os cidadãos / Geração de valor para os usuários","Enap - Escola Nacional de Administração Pública","Departamento Nacional de Infraestrutura de Transportes","30","30","Curso Aberto","Este curso apresenta os principais conceitos aplicados ao desenvolvimento de projetos e estudos sobre patologias em estruturas de concreto armado. Você conhecerá os conceitos essenciais para se trabalhar no processo de identificação das principais manifestações patológicas, especialmente aquelas que ocorrem em Obras de Arte Especiais (OAE). Quer saber mais? Inscreva-se!","Agentes públicos órgãos e entidades da Administração Federal direta, autárquica e fundacional que tenham interesse no assunto.","Módulo 1: DiagnósticoMódulo 2: Processo de hidratação do cimento e variações volumétricas do concretoMódulo 3: Causas físicasMódulo 4: Causas químicas"
"702","Gestão de Comportamento nas Organizações","Gestão Pública / Governo e Transformação Digital",NULL,"Enap - Escola Nacional de Administração Pública","Fundação CEPERJ","10","10","Curso Aberto","O curso Gestão de comportamento nas organizações aborda fundamentalmente sobre ética e relações de trabalho. A gestão do comportamento permite conhecer as principais características comportamentais dos colaboradores e atribuir a eles a função mais adequada à sua essência.","Curso aberto, qualquer pessoa interessada na temática pode se inscrever.","Módulo 1: Situando na HistóriaMódulo 2: Código de Ética como FerramentaMódulo 3: Consumo VerdeMódulo 4: Definições"
"76","Acesso à Informação","Excelência na Entrega de Serviços / Transparência, Controle e Participação / Análise e Ciência de Dados / Água e Saneamento / Gestão Pública / Governo e Transformação Digital",NULL,"Enap - Escola Nacional de Administração Pública","Controladoria-Geral da União","20","20","Curso Aberto","O curso demonstra as bases normativas, conceituais e operacionais que podem ser utilizadas na aplicação da Lei de Acesso à Informação (LAI), oferecendo subsídios aos cidadãos e à administração pública em geral para a realização consciente e eficiente de atos relacionados a essa área.","Servidores e empregados públicos que tenham atuação no âmbito do Poder Executivo federal e desenvolvam atividades em ouvidorias ou em áreas que tratem de temas afins. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.","1 Direito de acesso à informação no Brasil 1.1 Abrangência da Lei de Acesso à Informação no Brasil 1.2 Exercício do direito ao acesso à informação 1.3 Prazos e procedimentos para acesso à informação 2 Negativas de acesso 2.1 Fundamentos para negação de acesso 2.2 Possibilidades de restrição de acesso 2.3 Procedimentos para proteção da informação 3 Informações Classificadas e Dados Abertos 3.1 Diretrizes de classificação 3.2 Tratamento de informação classificada 3.3 Comissões de tratamento 3.4 Dados abertos"
"1013","Serviços no Portal Gov.br: Conceitos e Gestão de Cadastros","Governo e Transformação Digital","Mentalidade digital / Geração de valor para os usuários","Enap - Escola Nacional de Administração Pública","Secretaria de Governo Digital","25","30","Curso Aberto","Você já deve ter usado algum serviço disponível no Portal Gov.br, mas já parou para pensar em como esses serviços foram reunidos nesse local? A quais parâmetros legais tiveram de obedecer e quais critérios de qualidade estão envolvidos na sua prestação? Neste curso, você conhecerá os fundamentos, os conceitos e normativos relativos à prestação de serviços públicos no Portal Gov.br e compreenderá os procedimentos para realizar e gerenciar o cadastro de serviços do referido portal. Inscreva-se!","Servidores responsáveis pela gestão de serviços públicos digitais. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.","Módulo 1: Aspectos Gerais da Transformação Digital no Brasil;Módulo 2: A Carta de Serviços na Administração Pública Federal;Módulo 3: Os Serviços no Portal Gov.br;Módulo 4: A Gestão da Carta de Serviços ao Usuário;Módulo 5: O Controle de Qualidade do Serviço Prestado"
"625","População em Situação de Rua e o Modelo Moradia Primeiro (Housing First)","Direitos Humanos / Políticas Públicas",NULL,"Enap - Escola Nacional de Administração Pública","Ministério dos Direitos Humanos e Cidadania","30","30","Curso Aberto","Devido ao constante crescimento das cidades, tem se tornado cada vez mais comum notar, nos grandes centros urbanos, indivíduos em situação de rua. Nesse curso você aprenderá, primeiramente, a definir quem faz parte da categoria da população em situação de rua. Posteriormente, você estudará o modelo Housing First e suas nuances a fim de pensar a situação de forma resolutiva e completa. Vamos lá?","Destina-se a agentes públicos, sociedade civil e demais interessados. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.","Módulo 1: Conceitos básicos: população em situação de rua e as particularidades do modelo etapista;Módulo 2: Princípios do modelo Moradia Primeiro (Housing First);Módulo 3: Estruturação de projetos Moradia Primeiro (Housing First);Módulo 4: Suporte e acompanhamento de casos;Módulo 5: Monitoramento e avaliação do Moradia Primeiro (Housing First)."
"772","Comunicação Pública e Gestão de Relacionamento com Cidadão","Comunicação","Comunicação estratégica / Comunicação","Enap - Escola Nacional de Administração Pública","Enap - Escola Nacional de Administração Pública","20","20","Curso Aberto","Neste curso, por meio de conceitos e estudos de caso, você conhecerá noções de comunicação pública e de relacionamento com os diversos públicos e partes interessadas. Você também compreenderá o que é e quais são as diferenças entre comunicação pública, governamental e privada e também o que é a comunicação organizacional e seus fluxos. Além disso, saberá com utilizar e relacionar as formas de comunicação on-line e off-line, como identificar os públicos da organização e a analisar os riscos e crises na contemporaneidade.","Agentes públicos que desejam entender a dinâmica da comunicação na organizações, propor melhores práticas e ter uma percepção do cidadão como cliente do serviço.","&nbsp; &nbsp;Módulo 1: Comunicação Pública&nbsp; &nbsp;Módulo 2: Comunicação on-line e off-line&nbsp; &nbsp;Módulo 3: Como se relacionar com os públicos da Organização"
"406","Análise de dados como suporte à tomada de decisão","Análise e Ciência de Dados","Resolução de problemas com base em dados / Foco nos resultados para os cidadãos / Mentalidade digital / Gestão para resultados","Enap - Escola Nacional de Administração Pública","Secretaria de Governo Digital","30","30","Curso Aberto","O curso abordará a importância da utilização de dados analíticos pelos gestores e servidores públicos tomadores de decisão, bem como a forma de obtenção e utilização de dados estratégicos.","Agentes públicos que assessoram e atuam na tomada de decisões em suas instituições. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.","Módulo 1 - Introdução à análise de dadosMódulo 2 - Pré-processamento de dadosMódulo 3 - Análise descritivaMódulo 4 - Desenvolvimento de painel de Business Intelligence - BI"
"302","Auditoria e Controle Para Estatais","Transparência, Controle e Participação",NULL,"Enap - Escola Nacional de Administração Pública","Enap - Escola Nacional de Administração Pública","20","20","Curso Aberto","O curso tem o objetivo de informar sobre a história da Auditoria Interna ao longo dos anos, a evolução de seu papel dentro das organizações, bem como sua forma de trabalho, além de abordar uma estrutura modelo para o desenvolvimento, a implementação e a aplicação do controle interno, e a avaliação de sua eficácia.","Empregados públicos de estatais. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.","Módulo 1 - Histórico e importância da auditoria interna modernaMódulo 2 - O papel da auditoria interna em uma organizaçãoMódulo 3 - Controle Interno – Estrutura IntegradaMódulo 4 - Como a auditoria interna trabalha"
"629","Aprendendo com Python","Governo e Transformação Digital","Resolução de problemas com base em dados","Enap - Escola Nacional de Administração Pública","Columbia University","20","20","Curso Aberto","Este curso aprofunda os fundamentos da ciência da computação em termos de variáveis, condicionais, loops e funções usando a sintaxe de programação do Python. Aprenda como aplicar esta linguagem para resolver vários problemas e usar seus frameworks / bibliotecas / pacotes para diferentes contextos. Este curso também está disponível na versão inglês.","Destina-se a servidores públicos de qualquer esfera e Poder. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.","Módulo 1: Variáveis, Operações, CondiçõesMódulo 2: Loops, FunçõesMódulo 3: Estruturas Básicas de DadosMódulo 4: Programação Orientada a ObjetosMódulo 5: Usos e Aplicações de Bibliotecas"
"773","E-liderança: como gerenciar e liderar equipes em ambientes remotos","Gestão de Pessoas / Liderança","Mentalidade digital / Trabalho em equipe / Coordenação e colaboração em rede / Engajamento de pessoas e equipes / Autoconhecimento e desenvolvimento pessoal","Enap - Escola Nacional de Administração Pública","Enap - Escola Nacional de Administração Pública","20","20","Curso Aberto","Os desafios sociais causados pela pandemia de Covid-19 demandaram um grande processo de transformação nas empresas ampliando o uso de tecnologias digitais. O trabalho e as relações on-line exigiram o desenvolvimento de novas competências, dentre tais, gerenciar e liderar equipes em ambientes remotos. Este curso foi criado para que você desenvolva essa competência tão importante para o profissional do século XXI.","Servidores públicos que atuam ou tenham interesse em atuar como líderes que gerenciam equipes on-line (remotas). Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.","Módulo 1 – Autoconhecimento.Módulo 2 – O relacionamento entre líder e liderados.Módulo 3 – O relacionamento entre líder e equipe.Módulo 4 – O relacionamento entre líder e outras equipes.Módulo 5 – Boas práticas na e-liderança."
"377","Inteligência Artificial no Contexto do Serviço Público","Gestão Pública / Governo e Transformação Digital","Mentalidade digital","Enap - Escola Nacional de Administração Pública","Ministério da Fazenda","20","20","Curso Aberto","Este curso traz conceitos, sugestões de tecnologias e experiências de aplicação de Inteligência Artificial (IA). Por meio do conteúdo do curso, busca-se difundir a cultura da concepção digital como estratégia para criação de soluções eficazes para os diversos contextos, principalmente no serviço público. Saiba mais, faça sua inscrição!","Pessoas que atuam na área da tecnologia da informação. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.","Módulo 1 – Contextualização e conceitos sobre Inteligência ArtificialMódulo 2 – Principais tecnologias para a utilização da Inteligência ArtificialMódulo 3 – Resolução de problemas nas organizações públicas com a utilização da Inteligência Artificial"
"792","Papéis de Trabalho em Auditoria Interna Governamental","Transparência, Controle e Participação / Gestão Pública","Foco nos resultados para os cidadãos / Gestão para resultados","Enap - Escola Nacional de Administração Pública","Controladoria-Geral da União","16","20","Curso Aberto","O curso tem por objetivo apresentar aspectos teóricos e normativos sobre elaboração e gestão de papéis de trabalho, incluindo a exposição de modelos e de exemplos práticos, de forma a prover conhecimento e ferramentas apropriadas para a condução de trabalhos sistemáticos e disciplinados, que reforcem a independência e a objetividade como atributos essenciais da atividade de auditoria interna.","Servidores da CGU, auditores internos governamentais do Poder Executivo Federal, auditores governamentais (internos e externos) de outros poderes e esferas de governo, estudantes de áreas relacionadas ao tema. Curso aberto, qualquer pessoa pode se inscrever.","Módulo I – Papéis de Trabalho na Auditoria Interna GovernamentalMódulo II – Conceitos Básicos e Fundamentais sobre Papéis de TrabalhoMódulo III – Atributos dos Papéis de TrabalhoMódulo IV – Papéis de Trabalho e Relatórios de AuditoriaMódulo V – Revisão dos Papéis de TrabalhoMódulo VI - Organização, Armazenamento e Acesso aos Papéis de Trabalho"
"917","Introdução à Facilitação para Inovação e Transformação Governamental","Inovação","Trabalho em equipe / Inovação e mudança / Geração de valor para os usuários / Engajamento de pessoas e equipes / Comunicação","Enap - Escola Nacional de Administração Pública","Enap - Escola Nacional de Administração Pública","30","30","Curso Aberto","Em um contexto de inovação, a facilitação é o trabalho de construir colaborativamente soluções para desafios públicos a partir de múltiplos olhares e diálogos. Este curso aborda aspectos introdutórios da facilitação para transformação governamental, com ênfase em técnicas para facilitação em ambiente remoto. Que tal fazer parte de um grupo de pessoas que querem aprender mais sobre este tema? Inscreva-se e comece sua jornada!","Agentes públicos e pessoas interessadas em reconhecer o valor da colaboração para inovação e transformação governamental e aplicar conceitos e técnicas fundamentais de facilitação remota a fim de planejar, preparar e conduzir processos colaborativos. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.","Módulo 1: Facilitação: o que é e sua Relevância para Inovação e Transformação Governamental;Módulo 2: Etapas e Técnicas Fundamentais da Facilitação;Módulo 3: A Facilitação na Prática."
"428","Compliance Anticorrupção em Empresas Estatais","Ética e Cidadania / Transparência, Controle e Participação / Direito e Legislação",NULL,"Enap - Escola Nacional de Administração Pública","Enap - Escola Nacional de Administração Pública","25","30","Curso Aberto","A Lei Anticoprrupção, que foi aprovada em 2013, é o principal marco para a implementação do programa de compliance nas empresas estatais. Já o Decreto 8420, de 2015, define o que é compliance e tudo o que uma empresa estatal precisa ter para que seus funcionários não cometam desvios. Que tal realizar este curso e conhecer os principais pontos da lei anticorrupção e os pilares do programa de compliance na esfera pública? Inscreva-se!","Agentes públicos de qualquer esfera e Poder. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.","Módulo 1: Aspectos gerais do compliance anticorrupção.Módulo 2: Os pilares de um Programa de Compliance.Módulo 3: Aspectos específicos do compliance nas empresas estatais.Módulo 4: Um olhar comportamental."
"219","eSocial para Órgãos Públicos - RPPS","Aposentadoria e Previdência / Gestão de Pessoas",NULL,"Enap - Escola Nacional de Administração Pública","Previdência Social","20","20","Curso Aberto","O curso “eSocial para Órgãos Públicos - RPPS” foi produzido por meio da parceria entre a Escola de Administração Fazendária e a Secretaria de Previdência. Sua estrutura está configurada em 3 (três) módulos que abordam a prestação de informações, dos dados cadastrais, funcionais e financeiros dos servidores, dos beneficiários e dos dependentes do eSocial.","Gestores e Técnicos dos RPPS, bem como os servidores públicos da área de cadastro, da folha de pagamento, da tecnologia da informação e do financeiro, os Conselheiros dos RPPS, além dos servidores que trabalham nos Órgãos de Controle. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.","Módulo 1 - Tópicos Iniciais eSocial Módulo 2 - Conhecendo os eventos e tabelas do eSocial Módulo 3 – Consulta Qualificação Cadastral"
"405","Lei nº 8112/90 e suas alterações","Gestão de Pessoas / Gestão Pública",NULL,"Enap - Escola Nacional de Administração Pública","Instituto Federal de São Paulo","40","30","Curso Aberto","A Lei nº 8.112/90, conhecida como Regime Jurídico Único dos servidores da União, das autarquias e das fundações públicas federais, sofreu diversas alterações com o passar dos anos. Busca-se, com este curso, instruir os interessados quanto aos direitos e deveres dos servidores públicos federais, dirimir possíveis dúvidas e apresentar algumas peculiaridades sobre os temas abordados na legislação.","Servidores públicos de qualquer esfera e Poder bem como cidadãos em geral. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.","Módulo 1- Do provimentoMódulo 2 - Da vacância, remoção, redistribuição e substituiçãoMódulo 3 - Dos direitos e vantagensMódulo 4 - Das férias e das licençasMódulo 5 - Dos afastamentosMódulo 6 - Das concessões, do tempo de serviço, e do direito de petiçãoMódulo 7 - Do regime disciplinarMódulo 8 - Do processo administrativo disciplinarMódulo 9 - Da seguridade social do servidorMódulo 10 - Da assistência à saúde"
